start,stop,duration,x,y,longitude,latitude,unique_id
2022-03-30 20:42:37+02:00,2022-03-31 14:39:24+02:00,4607.0,1881187.1174079357,5119798.250451703,15.8888,56.8888,0
2022-03-31 14:48:14+02:00,2022-03-31 14:52:14+02:00,240.0,1869244.7488139123,5120905.3315940555,13.170111033333363,54.513853333332534,1
2022-03-31 14:59:44+02:00,2022-03-31 15:03:24+02:00,220.0,1868609.7987704372,5120925.092555056,13.16566441031456,54.51314276466553,2
2022-03-31 16:02:44+02:00,2022-03-31 16:03:54+02:00,70.0,1869237.1657702378,5120909.078751529,13.170053316666676,54.51386979167013,1
2022-03-31 16:20:14+02:00,2022-03-31 16:46:34+02:00,1580.0,1879412.8990854803,5111009.878105347,13.253963485191417,54.45717299373165,3
2022-03-31 16:56:07+02:00,2022-04-01 19:08:07+02:00,94320.0,1881185.3721611435,5119799.512652549,13.25469618098046,54.52205623409843,0
2022-04-01 19:49:47+02:00,2022-04-02 14:01:52+02:00,65525.0,1881202.807485288,5119798.352858963,13.254819087610086,54.52207152297351,0
2022-04-02 14:37:52+02:00,2022-04-02 14:42:32+02:00,280.0,1923385.803874441,5098828.839442802,13.576688566664808,54.430443074998855,4
2022-04-02 14:47:32+02:00,2022-04-02 16:44:32+02:00,7020.0,1923783.7527171138,5099026.311279186,13.579195653132075,54.43239974779236,5
2022-04-02 16:49:32+02:00,2022-04-02 16:53:12+02:00,220.0,1923979.531542254,5099474.292716472,13.57995492545897,54.435862154817,6
2022-04-02 16:59:02+02:00,2022-04-02 17:08:12+02:00,550.0,1923746.068480184,5099993.055322765,13.577626741182122,54.439235775379636,7
2022-04-02 17:28:02+02:00,2022-04-02 17:30:22+02:00,140.0,1923377.8609191068,5098832.300252958,13.576628524999348,54.43045676666419,4
2022-04-02 17:41:52+02:00,2022-04-02 18:02:22+02:00,1230.0,1928761.8751238778,5108975.759738832,13.600410416477132,54.51014403612933,8
2022-04-02 18:17:32+02:00,2022-04-02 18:20:12+02:00,160.0,1933390.762364111,5115291.163031548,13.62405446666671,54.5615064666667,9
2022-04-02 18:41:22+02:00,2022-04-02 18:44:02+02:00,160.0,1935856.5389990157,5108144.867358912,13.65093367646602,54.51408014801718,10
2022-04-02 18:59:22+02:00,2022-04-02 19:05:22+02:00,360.0,1933789.4160353986,5107452.46701288,13.637482926965838,54.506276603209066,11
2022-04-02 19:50:52+02:00,2022-04-02 19:52:22+02:00,90.0,1901771.769343087,5102055.948463074,13.42168486670733,54.42376345832268,12
2022-04-02 19:54:02+02:00,2022-04-02 20:11:32+02:00,1050.0,1901566.3783044892,5102040.8465581555,13.420273200577933,54.42337569730506,13
2022-04-02 20:27:12+02:00,2022-04-03 12:45:02+02:00,58670.0,1881187.6982843718,5119799.836974816,13.254711945162962,54.522061678245166,0
2022-04-03 12:57:22+02:00,2022-04-03 12:58:32+02:00,70.0,1900436.6212803123,5102499.885150906,13.411784616666717,54.42510393333329,14
2022-04-03 13:23:32+02:00,2022-04-03 13:27:02+02:00,210.0,1937438.2690258627,5108564.660980912,13.661373966666716,54.51927020000001,15
2022-04-03 13:39:32+02:00,2022-04-03 13:45:42+02:00,370.0,1938821.2003263952,5109043.908281054,13.67034807133967,54.52460832214914,16
2022-04-03 13:50:42+02:00,2022-04-03 13:59:12+02:00,510.0,1939138.5435939622,5109226.422466252,13.672308326464584,54.52634984924273,17
2022-04-03 14:01:12+02:00,2022-04-03 14:07:02+02:00,350.0,1939400.9455555705,5109460.394716966,13.673815908734214,54.528381141127014,18
2022-04-03 14:10:32+02:00,2022-04-03 14:14:32+02:00,240.0,1939827.5266179321,5109602.205659727,13.676591800020725,54.52998535000469,19
2022-04-03 14:18:22+02:00,2022-04-03 14:22:52+02:00,270.0,1939400.870549226,5109456.582517789,13.673820583333319,54.528353899999985,18
2022-04-03 14:33:02+02:00,2022-04-03 14:34:32+02:00,90.0,1938729.2262479458,5109070.5892847255,13.669671483333309,54.524670083333305,16
2022-04-03 14:46:12+02:00,2022-04-03 14:47:22+02:00,70.0,1937454.955418915,5108559.55566205,13.661497081388706,54.519257091236085,15
2022-04-03 14:49:22+02:00,2022-04-03 14:52:02+02:00,160.0,1936435.6879191084,5108725.995848155,13.654174825005471,54.519023024992,20
2022-04-03 15:15:42+02:00,2022-04-03 15:31:52+02:00,970.0,1901269.2507646629,5101950.350128951,13.41832266547292,54.422325910628665,21
2022-04-03 15:39:22+02:00,2022-04-03 15:43:02+02:00,220.0,1892073.5308156665,5107688.080822088,13.346585594529378,54.45066167388078,22
2022-04-03 16:04:52+02:00,2022-04-04 18:07:54+02:00,93782.0,1881187.061506344,5119797.804230218,13.254710199705434,54.52204637315791,0
2022-04-04 18:27:34+02:00,2022-04-05 18:06:46+02:00,85152.0,1881189.1288288988,5119795.632946671,13.254727461589056,54.52203373301715,0
2022-04-05 18:15:26+02:00,2022-04-05 18:46:36+02:00,1870.0,1879423.2721264209,5111000.683888921,13.25404790132019,54.45712157308762,3
2022-04-05 18:57:56+02:00,2022-04-05 19:00:16+02:00,140.0,1879804.1699629752,5113168.388316745,13.25383950000014,54.47305245833665,23
2022-04-05 19:14:26+02:00,2022-04-05 19:33:36+02:00,1150.0,1884010.8234078104,5116294.547721873,13.279004966666712,54.50095916666671,24
2022-04-05 19:37:26+02:00,2022-04-06 15:22:37+02:00,71111.0,1881188.4510512855,5119798.746378431,13.254718627250183,54.52205494386979,0
2022-04-06 15:30:57+02:00,2022-04-06 15:33:30+02:00,153.0,1875919.6033501988,5124741.295430129,13.211522022684926,54.550067859397565,25
2022-04-06 16:24:10+02:00,2022-04-06 16:47:20+02:00,1390.0,1875921.9599408524,5124737.886077797,13.211542916666433,54.550046816666494,25
2022-04-06 16:58:30+02:00,2022-04-07 16:36:20+02:00,85070.0,1881187.6373362888,5119799.052926179,13.254712557428297,54.52205602415282,0
2022-04-07 17:28:40+02:00,2022-04-08 00:35:07+02:00,25587.0,1881206.5807974413,5119800.028225137,13.254843140009301,54.52208852149639,0
